Internal ID,going out,gender,age,country,area,dress,day,"Click Coordinates (x, y)",Media
90294450,No,Male,41,United States,California,White and gold,Sunday,"(62, 26)",Science
90294567,No,Female,45,United States,NH,White and gold,Sunday,"(70, 23)",Science
90294632,No,Female,36,United States,Montana,Blue and black,Friday,"(81, 25)",Science
90294657,No,Male,36,United States,Washington,Unknown,Friday,Unknown,Unknown
90294709,No,Male,54,United States,California,Blue and black,Friday,"(74, 4)",Science
90294831,No,Female,35,United States,California,White and gold,Friday,"(73, 11)",Science
90294887,No,Male,50,United States,Kansas,White and gold,Sunday,"(77, 24)",Science
90294949,Yes,Female,24,Canada,British Columbia,Blue and black,Friday,"(87, 88)",Yahoo
90295078,No,Female,46,United States,Indiana,White and gold,Friday,"(60, 5)",Science
90295229,Yes,Female,26,Canada,Quenec,Unknown,Friday,Unknown,Unknown
90296087,No,Female,43,United States,Oregon,Unknown,Friday,Unknown,Unknown
90296809,No,Female,31,United States,Michigan,White and gold,Sunday,"(27, 70)",ESPN
90296929,No,Female,57,United States,Pennsylvania,Unknown,Friday,Unknown,Unknown
90296938,No,Female,45,United States,Pennsylvania,White and gold,Sunday,"(77, 19)",Science
90297263,No,Male,39,United States,nj,White and gold,Sunday,"(27, 58)",ESPN
90297631,No,Male,43,Unknown,Unknown,Blue and black,Sunday,"(59, 5)",Science
90297668,No,I'd rather not say,59,United States,Florida,White and gold,Friday,"(71, 60)",Yahoo
90298080,No,Male,50,United States,Utah,White and gold,Sunday,"(63, 19)",Science
90298210,No,Male,48,United States,Missouri,Blue and black,Friday,"(79, 12)",Science
90298389,No,Female,32,United States,CT,White and gold,Sunday,Unknown,Unknown
90298427,No,Male,27,United States,CT,White and gold,Friday,"(25, 59)",ESPN
90298440,No,Female,30,United States,Connecticut,Blue and black,Friday,"(60, 29)",Science
90298486,No,Male,41,United States,Missouri,White and gold,Friday,"(87, 28)",Science
90298660,No,Male,36,United States,Illinois,White and gold,Friday,"(60, 21)",Science
90298789,Yes,Male,39,United States,iowa,White and gold,Friday,"(78, 27)",Science
90298835,No,Male,24,United States,Utah,White and gold,Friday,"(57, 6)",Science
90299103,No,Female,35,United States,Washington,Blue and black,Friday,Unknown,Unknown
90299339,Yes,Female,42,Canada,British Columbia,White and gold,Friday,"(67, 6)",Science
90299847,Yes,Male,41,Unknown,Carolina,White and gold,Sunday,"(29, 53)",ESPN
90300030,Yes,I'd rather not say,43,Unknown,Unknown,Unknown,Sunday,"(73, 21)",Science
90300146,No,Female,37,United States,SC ,Blue and black,Friday,"(74, 22)",Science
90300240,No,Male,43,Unknown,Unknown,White and gold,Sunday,"(59, 41)",Science
90300411,Yes,Male,43,United States,Massachusetts,White and gold,Sunday,"(78, 25)",Science
90300435,No,Male,37,United States,Utah,White and gold,Sunday,Unknown,Unknown
90300577,No,Female,56,United States,Texas,Blue and black,Friday,"(33, 28)",Daily Dish
90301103,No,Female,24,Canada,British Columbia,Blue and black,Sunday,"(70, 36)",Science
90301311,No,Male,59,United States,Illinois,White and gold,Friday,"(42, 40)",Daily Dish
90301644,No,Male,43,United States,KY,Blue and black,Friday,"(71, 5)",Science
90302350,No,I'd rather not say,46,United States,Maryland,Blue and black,Friday,"(73, 24)",Science
90302627,No,Male,73,United States,Pennsylvania,Unknown,Sunday,"(54, 5)",Science
90303651,No,Male,46,United States,Indiana,White and gold,Sunday,"(86, 39)",Science
90303759,No,Female,56,United States,IN,White and gold,Friday,"(81, 41)",Science
90303968,No,Female,45,United States,California,White and gold,Friday,"(91, 34)",Science
90303987,No,Male,39,Canada,Alberta,Blue and black,Friday,"(66, 31)",Science
90304431,No,Male,19,United States,Texas,White and gold,Friday,"(81, 88)",Yahoo
90304583,No,Male,52,United States,California,White and gold,Sunday,"(19, 36)",Daily Dish
90304611,No,Male,44,United States,California,White and gold,Sunday,Unknown,Unknown
90304917,Yes,Male,53,United States,New Jersey,White and gold,Friday,"(72, 22)",Science
90304964,No,Female,39,Canada,British Columbia,White and gold,Friday,"(70, 25)",Science
90305113,No,Female,35,United States,Ohio,Blue and black,Friday,"(84, 4)",Science
90305246,No,Female,59,United States,Indiana,White and gold,Friday,"(27, 64)",ESPN
90305572,No,Male,51,United States,Colorado,White and gold,Friday,"(84, 23)",Science
90305594,No,Male,33,United States,nj,White and gold,Sunday,"(70, 17)",Science
90305607,No,Female,63,Canada,British Columbia,White and gold,Sunday,"(65, 1)",Unknown
90305758,Yes,Male,11,United States,Texas,Blue and black,Sunday,"(66, 22)",Science
90306182,No,I'd rather not say,31,United States,Wisconsin,White and gold,Friday,Unknown,Unknown
90306209,No,Female,45,United States,Illinois,White and gold,Sunday,"(66, 27)",Science
90306635,No,Male,39,United States,Virginia,Blue and black,Friday,"(69, 26)",Science
90307125,No,Female,35,United States,Michigan,White and gold,Friday,"(82, 33)",Science
90307952,No,Female,18,Canada,British Columbia,Blue and black,Friday,"(84, 35)",Science
90308031,No,Female,18,Canada,British Columbia,Blue and black,Friday,Unknown,Unknown
90308159,No,Male,39,United States,California,Blue and black,Friday,"(88, 39)",Science
90308274,No,Female,43,United States,Michigan,White and gold,Friday,"(35, 29)",Daily Dish
90308333,Yes,Female,34,United States,California,White and gold,Friday,"(70, 18)",Science
90308439,No,Female,46,United States,Pennsylvania,Blue and black,Sunday,"(83, 4)",Science
90308441,No,Male,46,Canada,Alberta,White and gold,Friday,"(76, 27)",Science
90309452,No,I'd rather not say,43,Unknown,Unknown,White and gold,Friday,"(76, 10)",Science
90309529,Yes,Male,52,United States,Pennsylvania,White and gold,Friday,"(70, 19)",Science
90309907,Yes,Female,68,United States,Washington,Unknown,Friday,"(21, 5)",Daily Dish
90310127,No,Male,39,United States,NH,Blue and black,Friday,"(68, 56)",Yahoo
90310353,No,Female,52,United States,New York,Blue and black,Sunday,"(60, 21)",Science
90310689,No,Female,57,United States,California,Unknown,Friday,Unknown,Unknown
90311056,No,Male,48,United States,Connecticut,Blue and black,Sunday,"(71, 26)",Science
90311726,No,Female,27,United States,Carolina,White and gold,Sunday,"(67, 13)",Science
90312849,No,Male,42,United States,dc,White and gold,Sunday,"(74, 17)",Science
